id,district,house_type,house_build_date,floor_number,entrances,heating,window_view,ceiling_high,apartment_renovation,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
260111301,ЗАО,Кирпичный,1994,2,4,Центральное,Во двор,3.0,Евроремонт,75.0,45.0,9.0,Рассказовка,transport,10,12700000
259252009,НАО,Панельный,1994,2,4,Центральное,На улицу и двор,3.0,Без ремонта,74.9,44.7,13.6,Коммунарка,transport,15,12890000
252037800,ЮВАО,Монолитный,2017,7,6,Центральное,На улицу и двор,3.0,Без ремонта,88.2,42.8,13.9,Лухмановская,transport,4,12866920
252733439,ЮЗАО,Панельный,1972,9,4,Центральное,На улицу и двор,3.0,Косметический,60.0,43.5,7.0,Беляево,transport,4,12900000
256819888,ТАО (Троицкий),Монолитный,1994,3,4,Центральное,Во двор,3.0,Без ремонта,133.8,60.0,24.0,Теплый Стан,transport,25,12900000
256079560,СЗАО,Кирпичный,1965,1,8,Центральное,На улицу,3.0,Без ремонта,56.0,39.7,5.5,Октябрьское поле,transport,5,13000000
245259323,ЦАО,Кирпичный,1970,1,5,Центральное,Во двор,3.0,Косметический,56.0,44.0,6.0,Таганская,transport,5,13200000
256361776,НАО,Монолитный,1994,9,4,Центральное,Во двор,3.0,Без ремонта,85.4,46.5,19.6,Коммунарка,on foot,20,13300000
259356804,ЮВАО,Панельный,1969,4,8,Центральное,Во двор,2.64,Евроремонт,60.0,42.0,6.0,Печатники,on foot,10,13500000
237178610,ЗАО,Панельный,1977,1,3,Центральное,На улицу,2.65,Дизайнерский,60.0,39.7,6.2,Кунцевская,on foot,20,13450000
258521801,СВАО,Кирпичный,1962,4,3,Центральное,Во двор,2.75,Без ремонта,55.3,40.7,6.0,Ростокино,on foot,10,13500000
260323891,ЮВАО,Панельный,1980,6,6,Центральное,Во двор,2.64,Евроремонт,69.0,38.7,14.0,Курьяново,on foot,9,13500000
258328591,НАО,Монолитный,1994,11,4,Центральное,На улицу и двор,3.0,Косметический,75.0,44.2,10.0,Щербинка,transport,7,13499000
260167347,НАО,Панельный,2016,10,5,Центральное,На улицу и двор,3.0,Евроремонт,77.0,40.2,11.7,Саларьево,transport,10,13850000
257501143,ЮЗАО,Панельный,1999,2,2,Центральное,Во двор,2.7,Косметический,75.0,42.0,10.0,Улица Скобелевская,on foot,5,13900000
257704402,СВАО,Панельный,1970,9,4,Центральное,На улицу и двор,3.0,Косметический,49.2,30.0,6.0,Ботанический сад,on foot,10,13800000
258370564,ЮЗАО,Панельный,1978,5,14,Центральное,На улицу и двор,3.0,Косметический,71.8,50.4,6.0,Ясенево,on foot,14,13800000
259076723,НАО,Панельный,1994,3,4,Центральное,На улицу и двор,3.0,Без ремонта,86.0,46.0,18.0,Коммунарка,transport,10,13900000
258735887,ТАО (Троицкий),Панельный,1994,2,4,Центральное,Во двор,3.0,Евроремонт,100.0,65.0,18.0,Саларьево,transport,10,14000000
259190582,ЮЗАО,Панельный,1987,2,3,Центральное,На улицу и двор,3.0,Евроремонт,78.0,45.0,8.0,Бутово,on foot,5,14000000
257117073,ЮЗАО,Панельный,1978,6,10,Центральное,Во двор,2.64,Евроремонт,58.6,43.0,6.0,Ясенево,on foot,15,14000000
260469489,ЗАО,Панельный,1994,7,4,Центральное,Во двор,3.0,Без ремонта,63.6,42.0,7.0,Юго-Западная,on foot,8,14200000
259527554,НАО,Панельный,2012,17,6,Индивидуальный тепловой пункт,Во двор,2.7,Евроремонт,71.7,38.0,10.1,Рассказовка,on foot,35,14300000
260152266,ВАО,Кирпичный,1965,7,7,Центральное,На улицу и двор,3.0,Косметический,55.8,40.2,6.0,Преображенская площадь,on foot,5,14500000
258469649,СЗАО,Панельный,1998,1,5,Центральное,На улицу и двор,3.0,Косметический,72.0,43.2,10.0,Митино,on foot,12,14500000
257175873,ЮЗАО,Панельный,1978,5,15,Центральное,Во двор,2.6,Евроремонт,58.8,41.8,6.1,Новоясеневская,on foot,12,14450000
258581250,ЮАО,Блочный,1980,15,2,Центральное,Во двор,3.0,Косметический,65.7,47.1,7.8,Орехово,on foot,10,14500000
254621217,ЦАО,Кирпичный,1960,2,4,Центральное,На улицу и двор,3.0,Без ремонта,51.1,39.0,6.0,Марьина роща,on foot,10,14500000
259147161,ЗАО,Кирпичный,1971,9,7,Центральное,На улицу и двор,3.0,Без ремонта,56.0,41.0,6.0,Багратионовская,on foot,8,14490000
