id,district,housing_type,house_type,house_build_date,floor_number,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
252167542,САО,Вторичка,Кирпичный,1970,9,55.7,41.5,6.0,Селигерская,on foot,0,12700000
259689559,СВАО,Вторичка,Панельный,1978,2,63.5,38.6,7.0,Бибирево,on foot,7,12650000
260111301,ЗАО,Вторичка,Кирпичный,1994,2,75.0,45.0,9.0,Рассказовка,transport,10,12700000
259252009,НАО,Вторичка,Панельный,1994,2,74.9,44.7,13.6,Коммунарка,transport,15,12890000
252037800,ЮВАО,Вторичка,Монолитный,2017,7,88.2,42.8,13.9,Лухмановская,transport,4,12866920
252733439,ЮЗАО,Вторичка,Панельный,1972,9,60.0,43.5,7.0,Беляево,transport,4,12900000
256819888,ТАО (Троицкий),Вторичка,Монолитный,1994,3,133.8,60.0,24.0,Теплый Стан,transport,25,12900000
256079560,СЗАО,Вторичка,Кирпичный,1965,1,56.0,39.7,5.5,Октябрьское поле,transport,5,13000000
245259323,ЦАО,Вторичка,Кирпичный,1970,1,56.0,44.0,6.0,Таганская,transport,5,13200000
256361776,НАО,Вторичка,Монолитный,1994,9,85.4,46.5,19.6,Коммунарка,on foot,20,13300000
259356804,ЮВАО,Вторичка,Панельный,1969,4,60.0,42.0,6.0,Печатники,on foot,10,13500000
237178610,ЗАО,Вторичка,Панельный,1977,1,60.0,39.7,6.2,Кунцевская,on foot,20,13450000
258521801,СВАО,Вторичка,Кирпичный,1962,4,55.3,40.7,6.0,Ростокино,on foot,10,13500000
260323891,ЮВАО,Вторичка,Панельный,1980,6,69.0,38.7,14.0,Курьяново,on foot,9,13500000
258328591,НАО,Вторичка,Монолитный,1994,11,75.0,44.2,10.0,Щербинка,transport,7,13499000
260167347,НАО,Вторичка,Панельный,2016,10,77.0,40.2,11.7,Саларьево,transport,10,13850000
257501143,ЮЗАО,Вторичка,Панельный,1999,2,75.0,42.0,10.0,Улица Скобелевская,on foot,5,13900000
257704402,СВАО,Вторичка,Панельный,1970,9,49.2,30.0,6.0,Ботанический сад,on foot,10,13800000
258370564,ЮЗАО,Вторичка,Панельный,1978,5,71.8,50.4,6.0,Ясенево,on foot,14,13800000
259076723,НАО,Вторичка,Панельный,1994,3,86.0,46.0,18.0,Коммунарка,transport,10,13900000
258735887,ТАО (Троицкий),Вторичка,Панельный,1994,2,100.0,65.0,18.0,Саларьево,transport,10,14000000
259190582,ЮЗАО,Вторичка,Панельный,1987,2,78.0,45.0,8.0,Бутово,on foot,5,14000000
257117073,ЮЗАО,Вторичка,Панельный,1978,6,58.6,43.0,6.0,Ясенево,on foot,15,14000000
260469489,ЗАО,Вторичка,Панельный,1994,7,63.6,42.0,7.0,Юго-Западная,on foot,8,14200000
259527554,НАО,Вторичка,Панельный,2012,17,71.7,38.0,10.1,Рассказовка,on foot,35,14300000
