id,Город,Округ,Район,Улица,Дом,Общая,Жилая,Кухня,Этаж,Построен,Срок сдачи,Тип жилья,Высота потолков,Санузел,Ванная комната,Балкон/лоджия,Ремонт,Вид из окон,Площадь комнат,Отделка,Год постройки,Тип дома,Тип перекрытий,Подъезды,Лифты,Отопление,Аварийность,Парковка,Мусоропровод,Газоснабжение,Сдача комплекса,Застройщик,Класс,Кол-во корпусов,Ближайшее метро,Время до ближайшего метро,Цена
255625265,Москва,ЮАО,р-н Бирюлево Восточное,6-я Радиальная ул.,вл7к25,121 м²,,,2 из 25,,4 кв. 2021,Новостройка,,2 совмещенных,,"1 балкон, 2 лоджии",,Во двор,,,,,,,,,,,,,,,,,Царицыно, ⋅  3 мин. на транспорте,16 400 000 ₽
246826682,Москва,НАО (Новомосковский),Сосенское поселение,Скандинавия жилой комплекс,к7/4,100 м²,,38 м²,2 из 8,,3 кв. 2021,Новостройка,,,,,,,,,,,,,,,,,,,,,,,Улица Горчакова, ⋅  37 мин. пешком,16 500 000 ₽
260557298,Москва,НАО (Новомосковский),Сосенское поселение,№ 173 квартал,,"98,5 м²","56,5 м²","10,9 м²",15 из 15,,3 кв. 2023,Новостройка,"2,89 м",,,,,На улицу и двор,,"Предчистовая, чистовая",,"Монолитно-кирпичный, монолитный",,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",А101,Комфорт,68 корпусов,Улица Горчакова, ⋅  7 мин. на транспорте,16 888 199 ₽
259898946,Москва,САО,р-н Западное Дегунино,Дмитровское ш.,71К3,"72,8 м²",,,30 из 33,,3 кв. 2023,Новостройка,"2,8 м",,,,,,,,,,,,,,,,,,,,,,,,16 913 951 ₽
258441019,Москва,НАО (Новомосковский),Сосенское поселение,бул. Скандинавский,8,"97,6 м²",,,16 из 16,,3 кв. 2021,Новостройка,"3,14 м",,,,,,,,,,,,,,,,,,,,,,Коммунарка, ⋅  20 мин. пешком,18 039 408 ₽
258441012,Москва,НАО (Новомосковский),Сосенское поселение,бул. Скандинавский,8,"91,4 м²",,,10 из 10,,3 кв. 2021,Новостройка,"2,74 м",,,,,,,,,,,,,,,,,,,,,,Коммунарка, ⋅  20 мин. пешком,18 223 974 ₽
260168693,Москва,ЮАО,р-н Зябликово,Ореховый бул.,24к2,"79,8 м²",52 м²,20 м²,4 из 30,,,Новостройка,3 м,2 совмещенных,,1 балкон,,На улицу,,,,,,,,,,,,,,,,,Красногвардейская, ⋅  5 мин. пешком,21 165 000 ₽
257502067,Москва,ЗАО,р-н Очаково-Матвеевское,Аминьевское ш.,,"74,5 м²",51 м²,"6,3 м²",2 из 31,,2 кв. 2022,Новостройка,,2 раздельных,,,,На улицу и двор,,,,,,,,,,,,,,,,,Раменки, ⋅  4 мин. на транспорте,21 000 000 ₽
255133415,Москва,СЗАО,р-н Хорошево-Мневники,ул. Народного Ополчения,33,"97,8 м²",62 м²,16 м²,21 из 23,,1 кв. 2022,Новостройка Апартаменты,"3,3 м",2 раздельных,,1 балкон,,,,,,,,,,,,,,,,,,,Октябрьское поле, ⋅  15 мин. пешком,22 000 000 ₽
255133415,Москва,СЗАО,р-н Хорошево-Мневники,ул. Народного Ополчения,33,"97,8 м²",62 м²,16 м²,21 из 23,,1 кв. 2022,Новостройка Апартаменты,"3,3 м",2 раздельных,,1 балкон,,,,,,,,,,,,,,,,,,,Октябрьское поле, ⋅  15 мин. пешком,22 000 000 ₽
